09/04/2020 10:20:06 - INFO: [('structural_head_config', u'16,8,8'), ('temporal_layer_config', u'128'), ('val_freq', 1), ('dataset', u'Epinions'), ('epochs', 30), ('walk_len', 20), ('weight_decay', 0.0005), ('neg_sample_size', 10), ('temporal_drop', 0.5), ('GPU_ID', 0), ('use_residual', u'False'), ('structural_layer_config', u'128'), ('window', -1), ('base_model', u'DySAT'), ('log_dir', 'log'), ('model_dir', 'model'), ('spatial_drop', 0.1), ('position_ffn', u'True'), ('optimizer', 'adam'), ('time_steps', 5), ('learning_rate', 0.001), ('csv_dir', 'csv'), ('batch_size', 512), ('max_gradient_norm', 1.0), ('featureless', u'False'), ('f', '/root/.local/share/jupyter/runtime/kernel-2aa49497-f82d-4fdf-baa5-de21820cf4da.json'), ('test_freq', 1), ('temporal_head_config', u'16'), ('seed', 7), ('save_dir', 'output'), ('model', u'default'), ('neg_weight', 1.0)]
09/04/2020 10:21:56 - INFO: # train: 1477, # val: 1475, # test: 4427
09/04/2020 10:21:58 - INFO: Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
09/04/2020 10:21:58 - INFO: NumExpr defaulting to 8 threads.
09/04/2020 10:22:05 - INFO: Mini batch Iter: 0 train_loss= 5.54427
09/04/2020 10:22:05 - INFO: Mini batch Iter: 0 graph_loss= 5.54427
09/04/2020 10:22:05 - INFO: Mini batch Iter: 0 reg_loss= 0.00000
09/04/2020 10:22:05 - INFO: Time for Mini batch : 2.45615315437
09/04/2020 10:22:06 - INFO: Mini batch Iter: 1 train_loss= 5.54463
09/04/2020 10:22:06 - INFO: Mini batch Iter: 1 graph_loss= 5.54463
09/04/2020 10:22:06 - INFO: Mini batch Iter: 1 reg_loss= 0.00000
09/04/2020 10:22:06 - INFO: Time for Mini batch : 1.54706382751
09/04/2020 10:22:08 - INFO: Mini batch Iter: 2 train_loss= 5.54433
09/04/2020 10:22:08 - INFO: Mini batch Iter: 2 graph_loss= 5.54433
09/04/2020 10:22:08 - INFO: Mini batch Iter: 2 reg_loss= 0.00000
09/04/2020 10:22:08 - INFO: Time for Mini batch : 1.18748497963
09/04/2020 10:22:09 - INFO: Mini batch Iter: 3 train_loss= 5.54470
09/04/2020 10:22:09 - INFO: Mini batch Iter: 3 graph_loss= 5.54470
09/04/2020 10:22:09 - INFO: Mini batch Iter: 3 reg_loss= 0.00000
09/04/2020 10:22:09 - INFO: Time for Mini batch : 1.16380810738
09/04/2020 10:22:10 - INFO: Mini batch Iter: 4 train_loss= 5.54434
09/04/2020 10:22:10 - INFO: Mini batch Iter: 4 graph_loss= 5.54434
09/04/2020 10:22:10 - INFO: Mini batch Iter: 4 reg_loss= 0.00000
09/04/2020 10:22:10 - INFO: Time for Mini batch : 1.17281007767
09/04/2020 10:22:12 - INFO: Mini batch Iter: 5 train_loss= 5.54469
09/04/2020 10:22:12 - INFO: Mini batch Iter: 5 graph_loss= 5.54469
09/04/2020 10:22:12 - INFO: Mini batch Iter: 5 reg_loss= 0.00000
09/04/2020 10:22:12 - INFO: Time for Mini batch : 1.26925897598
09/04/2020 10:22:13 - INFO: Mini batch Iter: 6 train_loss= 5.54424
09/04/2020 10:22:13 - INFO: Mini batch Iter: 6 graph_loss= 5.54424
09/04/2020 10:22:13 - INFO: Mini batch Iter: 6 reg_loss= 0.00000
09/04/2020 10:22:13 - INFO: Time for Mini batch : 1.18668699265
09/04/2020 10:22:14 - INFO: Mini batch Iter: 7 train_loss= 5.54439
09/04/2020 10:22:14 - INFO: Mini batch Iter: 7 graph_loss= 5.54439
09/04/2020 10:22:14 - INFO: Mini batch Iter: 7 reg_loss= 0.00000
09/04/2020 10:22:14 - INFO: Time for Mini batch : 1.17920398712
09/04/2020 10:22:16 - INFO: Mini batch Iter: 8 train_loss= 5.54385
09/04/2020 10:22:16 - INFO: Mini batch Iter: 8 graph_loss= 5.54385
09/04/2020 10:22:16 - INFO: Mini batch Iter: 8 reg_loss= 0.00000
09/04/2020 10:22:16 - INFO: Time for Mini batch : 1.64879512787
09/04/2020 10:22:17 - INFO: Mini batch Iter: 9 train_loss= 5.54396
09/04/2020 10:22:17 - INFO: Mini batch Iter: 9 graph_loss= 5.54396
09/04/2020 10:22:17 - INFO: Mini batch Iter: 9 reg_loss= 0.00000
09/04/2020 10:22:17 - INFO: Time for Mini batch : 1.1965880394
09/04/2020 10:22:19 - INFO: Mini batch Iter: 10 train_loss= 5.54430
09/04/2020 10:22:19 - INFO: Mini batch Iter: 10 graph_loss= 5.54430
09/04/2020 10:22:19 - INFO: Mini batch Iter: 10 reg_loss= 0.00000
09/04/2020 10:22:19 - INFO: Time for Mini batch : 1.16166305542
09/04/2020 10:22:20 - INFO: Mini batch Iter: 11 train_loss= 5.54442
09/04/2020 10:22:20 - INFO: Mini batch Iter: 11 graph_loss= 5.54442
09/04/2020 10:22:20 - INFO: Mini batch Iter: 11 reg_loss= 0.00000
09/04/2020 10:22:20 - INFO: Time for Mini batch : 1.17669296265
