09/08/2020 13:27:53 - INFO: [('structural_head_config', u'16,8,8'), ('temporal_layer_config', u'128'), ('val_freq', 1), ('dataset', u'Epinions'), ('epochs', 30), ('walk_len', 20), ('weight_decay', 0.0005), ('neg_sample_size', 10), ('temporal_drop', 0.5), ('GPU_ID', 0), ('use_residual', u'False'), ('structural_layer_config', u'128'), ('window', -1), ('base_model', u'DySAT'), ('log_dir', 'log'), ('model_dir', 'model'), ('spatial_drop', 0.1), ('position_ffn', u'True'), ('optimizer', 'adam'), ('time_steps', 2), ('learning_rate', 0.001), ('csv_dir', 'csv'), ('batch_size', 512), ('max_gradient_norm', 1.0), ('featureless', u'False'), ('test_freq', 1), ('temporal_head_config', u'16'), ('seed', 7), ('save_dir', 'output'), ('model', u'default'), ('neg_weight', 1.0)]
09/08/2020 13:28:08 - INFO: # train: 2519, # val: 2519, # test: 7557
09/08/2020 13:28:09 - INFO: Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
09/08/2020 13:28:09 - INFO: NumExpr defaulting to 8 threads.
09/08/2020 14:21:29 - INFO: [('structural_head_config', u'16,8,8'), ('temporal_layer_config', u'128'), ('val_freq', 1), ('dataset', u'Epinions'), ('epochs', 30), ('walk_len', 20), ('weight_decay', 0.0005), ('neg_sample_size', 10), ('temporal_drop', 0.5), ('GPU_ID', 0), ('use_residual', u'False'), ('structural_layer_config', u'128'), ('window', -1), ('base_model', u'DySAT'), ('log_dir', 'log'), ('model_dir', 'model'), ('spatial_drop', 0.1), ('position_ffn', u'True'), ('optimizer', 'adam'), ('time_steps', 2), ('learning_rate', 0.001), ('csv_dir', 'csv'), ('batch_size', 512), ('max_gradient_norm', 1.0), ('featureless', u'False'), ('f', '/root/.local/share/jupyter/runtime/kernel-2a59de63-16e5-49f3-bdb2-944b7f77189b.json'), ('test_freq', 1), ('temporal_head_config', u'16'), ('seed', 7), ('save_dir', 'output'), ('model', u'default'), ('neg_weight', 1.0)]
09/08/2020 14:21:43 - INFO: # train: 2519, # val: 2519, # test: 7557
09/08/2020 14:21:45 - INFO: Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
09/08/2020 14:21:45 - INFO: NumExpr defaulting to 8 threads.
09/08/2020 14:21:47 - INFO: Mini batch Iter: 0 train_loss= 1.38626
09/08/2020 14:21:47 - INFO: Mini batch Iter: 0 graph_loss= 1.38626
09/08/2020 14:21:47 - INFO: Mini batch Iter: 0 reg_loss= 0.00000
09/08/2020 14:21:47 - INFO: Time for Mini batch : 1.29857397079
09/08/2020 14:21:48 - INFO: Mini batch Iter: 1 train_loss= 1.38598
09/08/2020 14:21:48 - INFO: Mini batch Iter: 1 graph_loss= 1.38598
09/08/2020 14:21:48 - INFO: Mini batch Iter: 1 reg_loss= 0.00000
09/08/2020 14:21:48 - INFO: Time for Mini batch : 0.50502705574
09/08/2020 14:21:49 - INFO: Mini batch Iter: 2 train_loss= 1.38612
09/08/2020 14:21:49 - INFO: Mini batch Iter: 2 graph_loss= 1.38612
09/08/2020 14:21:49 - INFO: Mini batch Iter: 2 reg_loss= 0.00000
09/08/2020 14:21:49 - INFO: Time for Mini batch : 0.50997710228
09/08/2020 14:21:49 - INFO: Mini batch Iter: 3 train_loss= 1.38599
09/08/2020 14:21:49 - INFO: Mini batch Iter: 3 graph_loss= 1.38599
09/08/2020 14:21:49 - INFO: Mini batch Iter: 3 reg_loss= 0.00000
09/08/2020 14:21:49 - INFO: Time for Mini batch : 0.500546216965
09/08/2020 14:21:50 - INFO: Mini batch Iter: 4 train_loss= 1.38605
09/08/2020 14:21:50 - INFO: Mini batch Iter: 4 graph_loss= 1.38605
09/08/2020 14:21:50 - INFO: Mini batch Iter: 4 reg_loss= 0.00000
09/08/2020 14:21:50 - INFO: Time for Mini batch : 0.509956121445
09/08/2020 14:21:50 - INFO: Mini batch Iter: 5 train_loss= 1.38619
09/08/2020 14:21:50 - INFO: Mini batch Iter: 5 graph_loss= 1.38619
09/08/2020 14:21:50 - INFO: Mini batch Iter: 5 reg_loss= 0.00000
09/08/2020 14:21:50 - INFO: Time for Mini batch : 0.511358976364
09/08/2020 14:21:51 - INFO: Mini batch Iter: 6 train_loss= 1.38613
09/08/2020 14:21:51 - INFO: Mini batch Iter: 6 graph_loss= 1.38613
09/08/2020 14:21:51 - INFO: Mini batch Iter: 6 reg_loss= 0.00000
09/08/2020 14:21:51 - INFO: Time for Mini batch : 0.511545181274
