09/08/2020 13:30:06 - INFO: [('structural_head_config', u'16,8,8'), ('temporal_layer_config', u'128'), ('val_freq', 1), ('dataset', u'Epinions'), ('epochs', 30), ('walk_len', 20), ('weight_decay', 0.0005), ('neg_sample_size', 10), ('temporal_drop', 0.5), ('GPU_ID', 0), ('use_residual', u'False'), ('structural_layer_config', u'128'), ('window', -1), ('base_model', u'DySAT'), ('log_dir', 'log'), ('model_dir', 'model'), ('spatial_drop', 0.1), ('position_ffn', u'True'), ('optimizer', 'adam'), ('time_steps', 5), ('learning_rate', 0.001), ('csv_dir', 'csv'), ('batch_size', 512), ('max_gradient_norm', 1.0), ('featureless', u'False'), ('f', '/root/.local/share/jupyter/runtime/kernel-2a59de63-16e5-49f3-bdb2-944b7f77189b.json'), ('test_freq', 1), ('temporal_head_config', u'16'), ('seed', 7), ('save_dir', 'output'), ('model', u'default'), ('neg_weight', 1.0)]
09/08/2020 13:30:32 - INFO: # train: 1477, # val: 1475, # test: 4427
09/08/2020 13:30:34 - INFO: Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
09/08/2020 13:30:34 - INFO: NumExpr defaulting to 8 threads.
09/08/2020 13:30:40 - INFO: Mini batch Iter: 0 train_loss= 5.54484
09/08/2020 13:30:40 - INFO: Mini batch Iter: 0 graph_loss= 5.54484
09/08/2020 13:30:40 - INFO: Mini batch Iter: 0 reg_loss= 0.00000
09/08/2020 13:30:40 - INFO: Time for Mini batch : 2.41886687279
09/08/2020 13:30:41 - INFO: Mini batch Iter: 1 train_loss= 5.54476
09/08/2020 13:30:41 - INFO: Mini batch Iter: 1 graph_loss= 5.54476
09/08/2020 13:30:41 - INFO: Mini batch Iter: 1 reg_loss= 0.00000
09/08/2020 13:30:41 - INFO: Time for Mini batch : 1.2444870472
09/08/2020 13:30:43 - INFO: Mini batch Iter: 2 train_loss= 5.54453
09/08/2020 13:30:43 - INFO: Mini batch Iter: 2 graph_loss= 5.54453
09/08/2020 13:30:43 - INFO: Mini batch Iter: 2 reg_loss= 0.00000
09/08/2020 13:30:43 - INFO: Time for Mini batch : 1.20338201523
09/08/2020 13:30:44 - INFO: Mini batch Iter: 3 train_loss= 5.54441
09/08/2020 13:30:44 - INFO: Mini batch Iter: 3 graph_loss= 5.54441
09/08/2020 13:30:44 - INFO: Mini batch Iter: 3 reg_loss= 0.00000
09/08/2020 13:30:44 - INFO: Time for Mini batch : 1.4517018795
09/08/2020 13:30:45 - INFO: Mini batch Iter: 4 train_loss= 5.54421
09/08/2020 13:30:45 - INFO: Mini batch Iter: 4 graph_loss= 5.54421
09/08/2020 13:30:45 - INFO: Mini batch Iter: 4 reg_loss= 0.00000
09/08/2020 13:30:45 - INFO: Time for Mini batch : 1.15392303467
09/08/2020 13:30:47 - INFO: Mini batch Iter: 5 train_loss= 5.54471
09/08/2020 13:30:47 - INFO: Mini batch Iter: 5 graph_loss= 5.54471
09/08/2020 13:30:47 - INFO: Mini batch Iter: 5 reg_loss= 0.00000
09/08/2020 13:30:47 - INFO: Time for Mini batch : 1.13592410088
09/08/2020 13:30:48 - INFO: Mini batch Iter: 6 train_loss= 5.54431
09/08/2020 13:30:48 - INFO: Mini batch Iter: 6 graph_loss= 5.54431
09/08/2020 13:30:48 - INFO: Mini batch Iter: 6 reg_loss= 0.00000
09/08/2020 13:30:48 - INFO: Time for Mini batch : 1.16259002686
09/08/2020 13:30:49 - INFO: Mini batch Iter: 7 train_loss= 5.54426
09/08/2020 13:30:49 - INFO: Mini batch Iter: 7 graph_loss= 5.54426
09/08/2020 13:30:49 - INFO: Mini batch Iter: 7 reg_loss= 0.00000
09/08/2020 13:30:49 - INFO: Time for Mini batch : 1.15346002579
09/08/2020 13:30:51 - INFO: Mini batch Iter: 8 train_loss= 5.54436
09/08/2020 13:30:51 - INFO: Mini batch Iter: 8 graph_loss= 5.54436
09/08/2020 13:30:51 - INFO: Mini batch Iter: 8 reg_loss= 0.00000
09/08/2020 13:30:51 - INFO: Time for Mini batch : 1.16417598724
09/08/2020 13:30:52 - INFO: Mini batch Iter: 9 train_loss= 5.54404
09/08/2020 13:30:52 - INFO: Mini batch Iter: 9 graph_loss= 5.54404
09/08/2020 13:30:52 - INFO: Mini batch Iter: 9 reg_loss= 0.00000
