09/08/2020 16:17:13 - INFO: [('structural_head_config', u'16,8,8'), ('temporal_layer_config', u'128'), ('val_freq', 1), ('dataset', u'alibaba'), ('epochs', 30), ('walk_len', 20), ('weight_decay', 0.0005), ('neg_sample_size', 10), ('temporal_drop', 0.5), ('GPU_ID', 0), ('use_residual', u'False'), ('structural_layer_config', u'128'), ('window', -1), ('base_model', u'DySAT'), ('log_dir', 'log'), ('model_dir', 'model'), ('spatial_drop', 0.1), ('position_ffn', u'True'), ('optimizer', 'adam'), ('time_steps', 2), ('learning_rate', 0.001), ('csv_dir', 'csv'), ('batch_size', 512), ('max_gradient_norm', 1.0), ('featureless', u'False'), ('f', '/root/.local/share/jupyter/runtime/kernel-2a59de63-16e5-49f3-bdb2-944b7f77189b.json'), ('test_freq', 1), ('temporal_head_config', u'16'), ('seed', 7), ('save_dir', 'output'), ('model', u'default'), ('neg_weight', 1.0)]
09/08/2020 16:18:02 - INFO: # train: 1147, # val: 1145, # test: 3436
09/08/2020 16:18:03 - INFO: Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
09/08/2020 16:18:03 - INFO: NumExpr defaulting to 8 threads.
09/08/2020 16:18:05 - INFO: Mini batch Iter: 0 train_loss= 1.38628
09/08/2020 16:18:05 - INFO: Mini batch Iter: 0 graph_loss= 1.38628
09/08/2020 16:18:05 - INFO: Mini batch Iter: 0 reg_loss= 0.00000
09/08/2020 16:18:05 - INFO: Time for Mini batch : 0.434772014618
09/08/2020 16:18:06 - INFO: Mini batch Iter: 1 train_loss= 1.38628
09/08/2020 16:18:06 - INFO: Mini batch Iter: 1 graph_loss= 1.38628
09/08/2020 16:18:06 - INFO: Mini batch Iter: 1 reg_loss= 0.00000
09/08/2020 16:18:06 - INFO: Time for Mini batch : 0.0974848270416
09/08/2020 16:18:06 - INFO: Mini batch Iter: 2 train_loss= 1.38627
09/08/2020 16:18:06 - INFO: Mini batch Iter: 2 graph_loss= 1.38627
09/08/2020 16:18:06 - INFO: Mini batch Iter: 2 reg_loss= 0.00000
09/08/2020 16:18:06 - INFO: Time for Mini batch : 0.0943591594696
09/08/2020 16:18:06 - INFO: Mini batch Iter: 3 train_loss= 1.38627
09/08/2020 16:18:06 - INFO: Mini batch Iter: 3 graph_loss= 1.38627
09/08/2020 16:18:06 - INFO: Mini batch Iter: 3 reg_loss= 0.00000
09/08/2020 16:18:06 - INFO: Time for Mini batch : 0.0969181060791
09/08/2020 16:18:06 - INFO: Mini batch Iter: 4 train_loss= 1.38627
09/08/2020 16:18:06 - INFO: Mini batch Iter: 4 graph_loss= 1.38627
09/08/2020 16:18:06 - INFO: Mini batch Iter: 4 reg_loss= 0.00000
09/08/2020 16:18:06 - INFO: Time for Mini batch : 0.104724884033
09/08/2020 16:18:07 - INFO: Mini batch Iter: 5 train_loss= 1.38625
09/08/2020 16:18:07 - INFO: Mini batch Iter: 5 graph_loss= 1.38625
09/08/2020 16:18:07 - INFO: Mini batch Iter: 5 reg_loss= 0.00000
09/08/2020 16:18:07 - INFO: Time for Mini batch : 0.0955259799957
09/08/2020 16:18:07 - INFO: Mini batch Iter: 6 train_loss= 1.38627
09/08/2020 16:18:07 - INFO: Mini batch Iter: 6 graph_loss= 1.38627
09/08/2020 16:18:07 - INFO: Mini batch Iter: 6 reg_loss= 0.00000
09/08/2020 16:18:07 - INFO: Time for Mini batch : 0.0958108901978
09/08/2020 16:18:07 - INFO: Mini batch Iter: 7 train_loss= 1.38625
09/08/2020 16:18:07 - INFO: Mini batch Iter: 7 graph_loss= 1.38625
09/08/2020 16:18:07 - INFO: Mini batch Iter: 7 reg_loss= 0.00000
09/08/2020 16:18:07 - INFO: Time for Mini batch : 0.0957489013672
09/08/2020 16:18:07 - INFO: Mini batch Iter: 8 train_loss= 1.38623
09/08/2020 16:18:07 - INFO: Mini batch Iter: 8 graph_loss= 1.38623
09/08/2020 16:18:07 - INFO: Mini batch Iter: 8 reg_loss= 0.00000
09/08/2020 16:18:07 - INFO: Time for Mini batch : 0.10311293602
09/08/2020 16:18:08 - INFO: Mini batch Iter: 9 train_loss= 1.38626
09/08/2020 16:18:08 - INFO: Mini batch Iter: 9 graph_loss= 1.38626
09/08/2020 16:18:08 - INFO: Mini batch Iter: 9 reg_loss= 0.00000
09/08/2020 16:18:08 - INFO: Time for Mini batch : 0.0958609580994
09/08/2020 16:18:08 - INFO: Mini batch Iter: 10 train_loss= 1.38620
09/08/2020 16:18:08 - INFO: Mini batch Iter: 10 graph_loss= 1.38620
09/08/2020 16:18:08 - INFO: Mini batch Iter: 10 reg_loss= 0.00000
09/08/2020 16:18:08 - INFO: Time for Mini batch : 0.0979611873627
09/08/2020 16:18:08 - INFO: Mini batch Iter: 11 train_loss= 1.38626
09/08/2020 16:18:08 - INFO: Mini batch Iter: 11 graph_loss= 1.38626
09/08/2020 16:18:08 - INFO: Mini batch Iter: 11 reg_loss= 0.00000
09/08/2020 16:18:08 - INFO: Time for Mini batch : 0.100729942322
09/08/2020 16:18:08 - INFO: Time for epoch : 1.50864672661
09/08/2020 16:18:09 - INFO: Val results at epoch 0: Measure (HAD) AUC: 0.835276215175
09/08/2020 16:18:09 - INFO: Test results at epoch 0: Measure (HAD) AUC: 0.829811056932
09/08/2020 16:18:09 - INFO: Mini batch Iter: 0 train_loss= 1.38619
09/08/2020 16:18:09 - INFO: Mini batch Iter: 0 graph_loss= 1.38619
09/08/2020 16:18:09 - INFO: Mini batch Iter: 0 reg_loss= 0.00000
09/08/2020 16:18:09 - INFO: Time for Mini batch : 0.0992949008942
09/08/2020 16:18:09 - INFO: Mini batch Iter: 1 train_loss= 1.38618
09/08/2020 16:18:09 - INFO: Mini batch Iter: 1 graph_loss= 1.38618
09/08/2020 16:18:09 - INFO: Mini batch Iter: 1 reg_loss= 0.00000
09/08/2020 16:18:09 - INFO: Time for Mini batch : 0.0955018997192
09/08/2020 16:18:10 - INFO: Mini batch Iter: 2 train_loss= 1.38611
09/08/2020 16:18:10 - INFO: Mini batch Iter: 2 graph_loss= 1.38611
09/08/2020 16:18:10 - INFO: Mini batch Iter: 2 reg_loss= 0.00000
09/08/2020 16:18:10 - INFO: Time for Mini batch : 0.095381975174
09/08/2020 16:18:10 - INFO: Mini batch Iter: 3 train_loss= 1.38608
09/08/2020 16:18:10 - INFO: Mini batch Iter: 3 graph_loss= 1.38608
09/08/2020 16:18:10 - INFO: Mini batch Iter: 3 reg_loss= 0.00000
09/08/2020 16:18:10 - INFO: Time for Mini batch : 0.0968911647797
09/08/2020 16:18:10 - INFO: Mini batch Iter: 4 train_loss= 1.38604
09/08/2020 16:18:10 - INFO: Mini batch Iter: 4 graph_loss= 1.38604
09/08/2020 16:18:10 - INFO: Mini batch Iter: 4 reg_loss= 0.00000
09/08/2020 16:18:10 - INFO: Time for Mini batch : 0.105587005615
09/08/2020 16:18:10 - INFO: Mini batch Iter: 5 train_loss= 1.38602
09/08/2020 16:18:10 - INFO: Mini batch Iter: 5 graph_loss= 1.38602
09/08/2020 16:18:10 - INFO: Mini batch Iter: 5 reg_loss= 0.00000
09/08/2020 16:18:10 - INFO: Time for Mini batch : 0.0993599891663
09/08/2020 16:18:11 - INFO: Mini batch Iter: 6 train_loss= 1.38605
09/08/2020 16:18:11 - INFO: Mini batch Iter: 6 graph_loss= 1.38605
09/08/2020 16:18:11 - INFO: Mini batch Iter: 6 reg_loss= 0.00000
09/08/2020 16:18:11 - INFO: Time for Mini batch : 0.0950129032135
09/08/2020 16:18:11 - INFO: Mini batch Iter: 7 train_loss= 1.38584
09/08/2020 16:18:11 - INFO: Mini batch Iter: 7 graph_loss= 1.38584
09/08/2020 16:18:11 - INFO: Mini batch Iter: 7 reg_loss= 0.00000
09/08/2020 16:18:11 - INFO: Time for Mini batch : 0.101145029068
09/08/2020 16:18:11 - INFO: Mini batch Iter: 8 train_loss= 1.38586
09/08/2020 16:18:11 - INFO: Mini batch Iter: 8 graph_loss= 1.38586
09/08/2020 16:18:11 - INFO: Mini batch Iter: 8 reg_loss= 0.00000
09/08/2020 16:18:11 - INFO: Time for Mini batch : 0.0959639549255
09/08/2020 16:18:11 - INFO: Mini batch Iter: 9 train_loss= 1.38586
09/08/2020 16:18:11 - INFO: Mini batch Iter: 9 graph_loss= 1.38586
09/08/2020 16:18:11 - INFO: Mini batch Iter: 9 reg_loss= 0.00000
09/08/2020 16:18:11 - INFO: Time for Mini batch : 0.0964188575745
09/08/2020 16:18:12 - INFO: Mini batch Iter: 10 train_loss= 1.38565
