09/08/2020 19:51:50 - INFO: [('structural_head_config', u'16,8,8'), ('temporal_layer_config', u'128'), ('val_freq', 1), ('dataset', u'alibaba'), ('epochs', 30), ('walk_len', 20), ('weight_decay', 0.0005), ('neg_sample_size', 10), ('temporal_drop', 0.5), ('GPU_ID', 0), ('use_residual', u'False'), ('structural_layer_config', u'128'), ('window', -1), ('base_model', u'DySAT'), ('log_dir', 'log'), ('model_dir', 'model'), ('spatial_drop', 0.1), ('position_ffn', u'True'), ('optimizer', 'adam'), ('time_steps', 7), ('learning_rate', 0.001), ('csv_dir', 'csv'), ('batch_size', 512), ('max_gradient_norm', 1.0), ('featureless', u'False'), ('test_freq', 1), ('temporal_head_config', u'16'), ('seed', 7), ('save_dir', 'output'), ('model', u'default'), ('neg_weight', 1.0)]
09/08/2020 19:53:38 - INFO: # train: 927, # val: 926, # test: 2779
09/08/2020 19:53:40 - INFO: Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
09/08/2020 19:53:40 - INFO: NumExpr defaulting to 8 threads.
09/08/2020 19:53:47 - INFO: Mini batch Iter: 0 train_loss= 8.31676
09/08/2020 19:53:47 - INFO: Mini batch Iter: 0 graph_loss= 8.31676
09/08/2020 19:53:47 - INFO: Mini batch Iter: 0 reg_loss= 0.00000
09/08/2020 19:53:47 - INFO: Time for Mini batch : 1.9372279644
09/08/2020 19:53:48 - INFO: Mini batch Iter: 1 train_loss= 8.31663
09/08/2020 19:53:48 - INFO: Mini batch Iter: 1 graph_loss= 8.31663
09/08/2020 19:53:48 - INFO: Mini batch Iter: 1 reg_loss= 0.00000
09/08/2020 19:53:48 - INFO: Time for Mini batch : 0.957478046417
09/08/2020 19:53:50 - INFO: Mini batch Iter: 2 train_loss= 8.31649
09/08/2020 19:53:50 - INFO: Mini batch Iter: 2 graph_loss= 8.31649
09/08/2020 19:53:50 - INFO: Mini batch Iter: 2 reg_loss= 0.00000
09/08/2020 19:53:50 - INFO: Time for Mini batch : 1.43070793152
09/08/2020 19:53:52 - INFO: Mini batch Iter: 3 train_loss= 8.31633
09/08/2020 19:53:52 - INFO: Mini batch Iter: 3 graph_loss= 8.31633
09/08/2020 19:53:52 - INFO: Mini batch Iter: 3 reg_loss= 0.00000
09/08/2020 19:53:52 - INFO: Time for Mini batch : 0.961097955704
09/08/2020 19:53:53 - INFO: Mini batch Iter: 4 train_loss= 8.31640
09/08/2020 19:53:53 - INFO: Mini batch Iter: 4 graph_loss= 8.31640
09/08/2020 19:53:53 - INFO: Mini batch Iter: 4 reg_loss= 0.00000
09/08/2020 19:53:53 - INFO: Time for Mini batch : 0.958340883255
09/08/2020 19:53:54 - INFO: Mini batch Iter: 5 train_loss= 8.31596
09/08/2020 19:53:54 - INFO: Mini batch Iter: 5 graph_loss= 8.31596
09/08/2020 19:53:54 - INFO: Mini batch Iter: 5 reg_loss= 0.00000
09/08/2020 19:53:54 - INFO: Time for Mini batch : 0.954545974731
09/08/2020 19:53:56 - INFO: Mini batch Iter: 6 train_loss= 8.31604
09/08/2020 19:53:56 - INFO: Mini batch Iter: 6 graph_loss= 8.31604
09/08/2020 19:53:56 - INFO: Mini batch Iter: 6 reg_loss= 0.00000
09/08/2020 19:53:56 - INFO: Time for Mini batch : 1.3728260994
09/08/2020 19:53:58 - INFO: Mini batch Iter: 7 train_loss= 8.31594
09/08/2020 19:53:58 - INFO: Mini batch Iter: 7 graph_loss= 8.31594
09/08/2020 19:53:58 - INFO: Mini batch Iter: 7 reg_loss= 0.00000
09/08/2020 19:53:58 - INFO: Time for Mini batch : 0.968925952911
09/08/2020 19:53:59 - INFO: Mini batch Iter: 8 train_loss= 8.31539
09/08/2020 19:53:59 - INFO: Mini batch Iter: 8 graph_loss= 8.31539
09/08/2020 19:53:59 - INFO: Mini batch Iter: 8 reg_loss= 0.00000
09/08/2020 19:53:59 - INFO: Time for Mini batch : 0.98396396637
09/08/2020 19:54:00 - INFO: Mini batch Iter: 9 train_loss= 8.31544
09/08/2020 19:54:00 - INFO: Mini batch Iter: 9 graph_loss= 8.31544
