09/08/2020 15:52:44 - INFO: [('structural_head_config', u'16,8,8'), ('temporal_layer_config', u'128'), ('val_freq', 1), ('dataset', u'ml-10m_new'), ('epochs', 30), ('walk_len', 20), ('weight_decay', 0.0005), ('neg_sample_size', 10), ('temporal_drop', 0.5), ('GPU_ID', 0), ('use_residual', u'False'), ('structural_layer_config', u'128'), ('window', 2), ('base_model', u'DySAT'), ('log_dir', 'log'), ('model_dir', 'model'), ('spatial_drop', 0.1), ('position_ffn', u'True'), ('optimizer', 'adam'), ('time_steps', 2), ('learning_rate', 0.001), ('csv_dir', 'csv'), ('batch_size', 512), ('max_gradient_norm', 1.0), ('featureless', u'False'), ('f', '/root/.local/share/jupyter/runtime/kernel-2a59de63-16e5-49f3-bdb2-944b7f77189b.json'), ('test_freq', 1), ('temporal_head_config', u'16'), ('seed', 7), ('save_dir', 'output'), ('model', u'default'), ('neg_weight', 1.0)]
09/08/2020 15:53:03 - INFO: # train: 134, # val: 133, # test: 400
09/08/2020 15:53:05 - INFO: Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
09/08/2020 15:53:05 - INFO: NumExpr defaulting to 8 threads.
09/08/2020 15:53:08 - INFO: Mini batch Iter: 0 train_loss= 1.38543
09/08/2020 15:53:08 - INFO: Mini batch Iter: 0 graph_loss= 1.38543
09/08/2020 15:53:08 - INFO: Mini batch Iter: 0 reg_loss= 0.00000
09/08/2020 15:53:08 - INFO: Time for Mini batch : 1.06663894653
09/08/2020 15:53:08 - INFO: Mini batch Iter: 1 train_loss= 1.38538
09/08/2020 15:53:08 - INFO: Mini batch Iter: 1 graph_loss= 1.38538
09/08/2020 15:53:08 - INFO: Mini batch Iter: 1 reg_loss= 0.00000
09/08/2020 15:53:08 - INFO: Time for Mini batch : 0.360474824905
09/08/2020 15:53:09 - INFO: Mini batch Iter: 2 train_loss= 1.38524
09/08/2020 15:53:09 - INFO: Mini batch Iter: 2 graph_loss= 1.38524
09/08/2020 15:53:09 - INFO: Mini batch Iter: 2 reg_loss= 0.00000
09/08/2020 15:53:09 - INFO: Time for Mini batch : 0.675286054611
09/08/2020 15:53:09 - INFO: Mini batch Iter: 3 train_loss= 1.38512
09/08/2020 15:53:09 - INFO: Mini batch Iter: 3 graph_loss= 1.38512
09/08/2020 15:53:09 - INFO: Mini batch Iter: 3 reg_loss= 0.00000
09/08/2020 15:53:09 - INFO: Time for Mini batch : 0.374778985977
09/08/2020 15:53:10 - INFO: Mini batch Iter: 4 train_loss= 1.38517
09/08/2020 15:53:10 - INFO: Mini batch Iter: 4 graph_loss= 1.38517
09/08/2020 15:53:10 - INFO: Mini batch Iter: 4 reg_loss= 0.00000
09/08/2020 15:53:10 - INFO: Time for Mini batch : 0.361930847168
09/08/2020 15:53:11 - INFO: Mini batch Iter: 5 train_loss= 1.38483
09/08/2020 15:53:11 - INFO: Mini batch Iter: 5 graph_loss= 1.38483
09/08/2020 15:53:11 - INFO: Mini batch Iter: 5 reg_loss= 0.00000
09/08/2020 15:53:11 - INFO: Time for Mini batch : 0.368514060974
09/08/2020 15:53:11 - INFO: Mini batch Iter: 6 train_loss= 1.38465
09/08/2020 15:53:11 - INFO: Mini batch Iter: 6 graph_loss= 1.38465
09/08/2020 15:53:11 - INFO: Mini batch Iter: 6 reg_loss= 0.00000
09/08/2020 15:53:11 - INFO: Time for Mini batch : 0.355265140533
09/08/2020 15:53:12 - INFO: Mini batch Iter: 7 train_loss= 1.38479
09/08/2020 15:53:12 - INFO: Mini batch Iter: 7 graph_loss= 1.38479
09/08/2020 15:53:12 - INFO: Mini batch Iter: 7 reg_loss= 0.00000
09/08/2020 15:53:12 - INFO: Time for Mini batch : 0.354985952377
09/08/2020 15:53:12 - INFO: Mini batch Iter: 8 train_loss= 1.38438
09/08/2020 15:53:12 - INFO: Mini batch Iter: 8 graph_loss= 1.38438
09/08/2020 15:53:12 - INFO: Mini batch Iter: 8 reg_loss= 0.00000
09/08/2020 15:53:12 - INFO: Time for Mini batch : 0.339465856552
09/08/2020 15:53:13 - INFO: Mini batch Iter: 9 train_loss= 1.38422
09/08/2020 15:53:13 - INFO: Mini batch Iter: 9 graph_loss= 1.38422
09/08/2020 15:53:13 - INFO: Mini batch Iter: 9 reg_loss= 0.00000
09/08/2020 15:53:13 - INFO: Time for Mini batch : 0.354676961899
09/08/2020 15:53:13 - INFO: Mini batch Iter: 10 train_loss= 1.38056
09/08/2020 15:53:13 - INFO: Mini batch Iter: 10 graph_loss= 1.38056
09/08/2020 15:53:13 - INFO: Mini batch Iter: 10 reg_loss= 0.00000
09/08/2020 15:53:13 - INFO: Time for Mini batch : 0.354763031006
09/08/2020 15:53:14 - INFO: Mini batch Iter: 11 train_loss= 1.38331
09/08/2020 15:53:14 - INFO: Mini batch Iter: 11 graph_loss= 1.38331
09/08/2020 15:53:14 - INFO: Mini batch Iter: 11 reg_loss= 0.00000
09/08/2020 15:53:14 - INFO: Time for Mini batch : 0.358803033829
09/08/2020 15:53:14 - INFO: Mini batch Iter: 12 train_loss= 1.38327
09/08/2020 15:53:14 - INFO: Mini batch Iter: 12 graph_loss= 1.38327
09/08/2020 15:53:14 - INFO: Mini batch Iter: 12 reg_loss= 0.00000
09/08/2020 15:53:14 - INFO: Time for Mini batch : 0.343497991562
09/08/2020 15:53:15 - INFO: Mini batch Iter: 13 train_loss= 1.38304
09/08/2020 15:53:15 - INFO: Mini batch Iter: 13 graph_loss= 1.38304
09/08/2020 15:53:15 - INFO: Mini batch Iter: 13 reg_loss= 0.00000
09/08/2020 15:53:15 - INFO: Time for Mini batch : 0.365888834
09/08/2020 15:53:15 - INFO: Mini batch Iter: 14 train_loss= 1.38203
09/08/2020 15:53:15 - INFO: Mini batch Iter: 14 graph_loss= 1.38203
09/08/2020 15:53:15 - INFO: Mini batch Iter: 14 reg_loss= 0.00000
09/08/2020 15:53:15 - INFO: Time for Mini batch : 0.332924842834
09/08/2020 15:53:15 - INFO: Time for epoch : 6.36220884323
09/08/2020 15:53:16 - INFO: Val results at epoch 0: Measure (HAD) AUC: 0.931143648595
09/08/2020 15:53:16 - INFO: Test results at epoch 0: Measure (HAD) AUC: 0.87858125
09/08/2020 15:53:17 - INFO: Mini batch Iter: 0 train_loss= 1.38127
09/08/2020 15:53:17 - INFO: Mini batch Iter: 0 graph_loss= 1.38127
09/08/2020 15:53:17 - INFO: Mini batch Iter: 0 reg_loss= 0.00000
09/08/2020 15:53:17 - INFO: Time for Mini batch : 0.364284038544
09/08/2020 15:53:17 - INFO: Mini batch Iter: 1 train_loss= 1.38140
09/08/2020 15:53:17 - INFO: Mini batch Iter: 1 graph_loss= 1.38140
09/08/2020 15:53:17 - INFO: Mini batch Iter: 1 reg_loss= 0.00000
09/08/2020 15:53:17 - INFO: Time for Mini batch : 0.356966972351
09/08/2020 15:53:18 - INFO: Mini batch Iter: 2 train_loss= 1.37968
09/08/2020 15:53:18 - INFO: Mini batch Iter: 2 graph_loss= 1.37968
09/08/2020 15:53:18 - INFO: Mini batch Iter: 2 reg_loss= 0.00000
09/08/2020 15:53:18 - INFO: Time for Mini batch : 0.347105979919
09/08/2020 15:53:19 - INFO: Mini batch Iter: 3 train_loss= 1.37912
09/08/2020 15:53:19 - INFO: Mini batch Iter: 3 graph_loss= 1.37912
09/08/2020 15:53:19 - INFO: Mini batch Iter: 3 reg_loss= 0.00000
09/08/2020 15:53:19 - INFO: Time for Mini batch : 0.694859981537
09/08/2020 15:53:19 - INFO: Mini batch Iter: 4 train_loss= 1.37632
09/08/2020 15:53:19 - INFO: Mini batch Iter: 4 graph_loss= 1.37632
09/08/2020 15:53:19 - INFO: Mini batch Iter: 4 reg_loss= 0.00000
09/08/2020 15:53:19 - INFO: Time for Mini batch : 0.35645699501
09/08/2020 15:53:20 - INFO: Mini batch Iter: 5 train_loss= 1.37686
09/08/2020 15:53:20 - INFO: Mini batch Iter: 5 graph_loss= 1.37686
09/08/2020 15:53:20 - INFO: Mini batch Iter: 5 reg_loss= 0.00000
09/08/2020 15:53:20 - INFO: Time for Mini batch : 0.364848852158
09/08/2020 15:53:20 - INFO: Mini batch Iter: 6 train_loss= 1.37795
09/08/2020 15:53:20 - INFO: Mini batch Iter: 6 graph_loss= 1.37795
09/08/2020 15:53:20 - INFO: Mini batch Iter: 6 reg_loss= 0.00000
09/08/2020 15:53:20 - INFO: Time for Mini batch : 0.352905988693
09/08/2020 15:53:21 - INFO: Mini batch Iter: 7 train_loss= 1.37411
09/08/2020 15:53:21 - INFO: Mini batch Iter: 7 graph_loss= 1.37411
09/08/2020 15:53:21 - INFO: Mini batch Iter: 7 reg_loss= 0.00000
09/08/2020 15:53:21 - INFO: Time for Mini batch : 0.363106966019
09/08/2020 15:53:21 - INFO: Mini batch Iter: 8 train_loss= 1.37198
09/08/2020 15:53:21 - INFO: Mini batch Iter: 8 graph_loss= 1.37198
09/08/2020 15:53:21 - INFO: Mini batch Iter: 8 reg_loss= 0.00000
09/08/2020 15:53:21 - INFO: Time for Mini batch : 0.351390838623
09/08/2020 15:53:22 - INFO: Mini batch Iter: 9 train_loss= 1.37218
09/08/2020 15:53:22 - INFO: Mini batch Iter: 9 graph_loss= 1.37218
09/08/2020 15:53:22 - INFO: Mini batch Iter: 9 reg_loss= 0.00000
09/08/2020 15:53:22 - INFO: Time for Mini batch : 0.35086607933
09/08/2020 15:53:22 - INFO: Mini batch Iter: 10 train_loss= 1.37838
09/08/2020 15:53:22 - INFO: Mini batch Iter: 10 graph_loss= 1.37838
09/08/2020 15:53:22 - INFO: Mini batch Iter: 10 reg_loss= 0.00000
09/08/2020 15:53:22 - INFO: Time for Mini batch : 0.362203836441
09/08/2020 15:53:23 - INFO: Mini batch Iter: 11 train_loss= 1.36964
09/08/2020 15:53:23 - INFO: Mini batch Iter: 11 graph_loss= 1.36964
09/08/2020 15:53:23 - INFO: Mini batch Iter: 11 reg_loss= 0.00000
09/08/2020 15:53:23 - INFO: Time for Mini batch : 0.358532905579
09/08/2020 15:53:23 - INFO: Mini batch Iter: 12 train_loss= 1.37268
