09/08/2020 14:37:08 - INFO: [('structural_head_config', u'16,8,8'), ('temporal_layer_config', u'128'), ('val_freq', 1), ('dataset', u'ml-10m_new'), ('epochs', 30), ('walk_len', 20), ('weight_decay', 0.0005), ('neg_sample_size', 10), ('temporal_drop', 0.5), ('GPU_ID', 0), ('use_residual', u'False'), ('structural_layer_config', u'128'), ('window', -1), ('base_model', u'DySAT'), ('log_dir', 'log'), ('model_dir', 'model'), ('spatial_drop', 0.1), ('position_ffn', u'True'), ('optimizer', 'adam'), ('time_steps', 3), ('learning_rate', 0.001), ('csv_dir', 'csv'), ('batch_size', 512), ('max_gradient_norm', 1.0), ('featureless', u'False'), ('test_freq', 1), ('temporal_head_config', u'16'), ('seed', 7), ('save_dir', 'output'), ('model', u'default'), ('neg_weight', 1.0)]
09/08/2020 14:38:25 - INFO: # train: 179, # val: 179, # test: 537
09/08/2020 14:38:27 - INFO: Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
09/08/2020 14:38:27 - INFO: NumExpr defaulting to 8 threads.
09/08/2020 16:32:01 - INFO: [('structural_head_config', u'16,8,8'), ('temporal_layer_config', u'128'), ('val_freq', 1), ('dataset', u'ml-10m_new'), ('epochs', 30), ('walk_len', 20), ('weight_decay', 0.0005), ('neg_sample_size', 10), ('temporal_drop', 0.5), ('GPU_ID', 0), ('use_residual', u'False'), ('structural_layer_config', u'128'), ('window', 2), ('base_model', u'DySAT'), ('log_dir', 'log'), ('model_dir', 'model'), ('spatial_drop', 0.1), ('position_ffn', u'True'), ('optimizer', 'adam'), ('time_steps', 3), ('learning_rate', 0.001), ('csv_dir', 'csv'), ('batch_size', 512), ('max_gradient_norm', 1.0), ('featureless', u'False'), ('f', '/root/.local/share/jupyter/runtime/kernel-ce5e9290-4e32-4c5d-9989-762e43beaf6d.json'), ('test_freq', 1), ('temporal_head_config', u'16'), ('seed', 7), ('save_dir', 'output'), ('model', u'default'), ('neg_weight', 1.0)]
09/08/2020 16:32:25 - INFO: # train: 179, # val: 179, # test: 537
09/08/2020 16:32:27 - INFO: Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
09/08/2020 16:32:27 - INFO: NumExpr defaulting to 8 threads.
09/08/2020 16:32:29 - INFO: Mini batch Iter: 0 train_loss= 2.77141
09/08/2020 16:32:29 - INFO: Mini batch Iter: 0 graph_loss= 2.77141
09/08/2020 16:32:29 - INFO: Mini batch Iter: 0 reg_loss= 0.00000
09/08/2020 16:32:29 - INFO: Time for Mini batch : 0.542647123337
09/08/2020 16:32:30 - INFO: Mini batch Iter: 1 train_loss= 2.77100
09/08/2020 16:32:30 - INFO: Mini batch Iter: 1 graph_loss= 2.77100
09/08/2020 16:32:30 - INFO: Mini batch Iter: 1 reg_loss= 0.00000
09/08/2020 16:32:30 - INFO: Time for Mini batch : 0.172565937042
09/08/2020 16:32:30 - INFO: Mini batch Iter: 2 train_loss= 2.77111
09/08/2020 16:32:30 - INFO: Mini batch Iter: 2 graph_loss= 2.77111
09/08/2020 16:32:30 - INFO: Mini batch Iter: 2 reg_loss= 0.00000
09/08/2020 16:32:30 - INFO: Time for Mini batch : 0.457738876343
09/08/2020 16:32:31 - INFO: Mini batch Iter: 3 train_loss= 2.77038
09/08/2020 16:32:31 - INFO: Mini batch Iter: 3 graph_loss= 2.77038
09/08/2020 16:32:31 - INFO: Mini batch Iter: 3 reg_loss= 0.00000
09/08/2020 16:32:31 - INFO: Time for Mini batch : 0.159408092499
09/08/2020 16:32:31 - INFO: Mini batch Iter: 4 train_loss= 2.77091
09/08/2020 16:32:31 - INFO: Mini batch Iter: 4 graph_loss= 2.77091
09/08/2020 16:32:31 - INFO: Mini batch Iter: 4 reg_loss= 0.00000
09/08/2020 16:32:31 - INFO: Time for Mini batch : 0.163829088211
09/08/2020 16:32:31 - INFO: Mini batch Iter: 5 train_loss= 2.77023
09/08/2020 16:32:31 - INFO: Mini batch Iter: 5 graph_loss= 2.77023
09/08/2020 16:32:31 - INFO: Mini batch Iter: 5 reg_loss= 0.00000
09/08/2020 16:32:31 - INFO: Time for Mini batch : 0.16014289856
09/08/2020 16:32:32 - INFO: Mini batch Iter: 6 train_loss= 2.76993
09/08/2020 16:32:32 - INFO: Mini batch Iter: 6 graph_loss= 2.76993
09/08/2020 16:32:32 - INFO: Mini batch Iter: 6 reg_loss= 0.00000
09/08/2020 16:32:32 - INFO: Time for Mini batch : 0.159754991531
09/08/2020 16:32:32 - INFO: Mini batch Iter: 7 train_loss= 2.76956
09/08/2020 16:32:32 - INFO: Mini batch Iter: 7 graph_loss= 2.76956
09/08/2020 16:32:32 - INFO: Mini batch Iter: 7 reg_loss= 0.00000
09/08/2020 16:32:32 - INFO: Time for Mini batch : 0.157624006271
09/08/2020 16:32:32 - INFO: Mini batch Iter: 8 train_loss= 2.76891
09/08/2020 16:32:32 - INFO: Mini batch Iter: 8 graph_loss= 2.76891
09/08/2020 16:32:32 - INFO: Mini batch Iter: 8 reg_loss= 0.00000
09/08/2020 16:32:32 - INFO: Time for Mini batch : 0.155210971832
09/08/2020 16:32:33 - INFO: Mini batch Iter: 9 train_loss= 2.76804
09/08/2020 16:32:33 - INFO: Mini batch Iter: 9 graph_loss= 2.76804
09/08/2020 16:32:33 - INFO: Mini batch Iter: 9 reg_loss= 0.00000
09/08/2020 16:32:33 - INFO: Time for Mini batch : 0.155159950256
09/08/2020 16:32:33 - INFO: Mini batch Iter: 10 train_loss= 2.76845
09/08/2020 16:32:33 - INFO: Mini batch Iter: 10 graph_loss= 2.76845
09/08/2020 16:32:33 - INFO: Mini batch Iter: 10 reg_loss= 0.00000
09/08/2020 16:32:33 - INFO: Time for Mini batch : 0.153023958206
09/08/2020 16:32:33 - INFO: Mini batch Iter: 11 train_loss= 2.76682
09/08/2020 16:32:33 - INFO: Mini batch Iter: 11 graph_loss= 2.76682
09/08/2020 16:32:33 - INFO: Mini batch Iter: 11 reg_loss= 0.00000
09/08/2020 16:32:33 - INFO: Time for Mini batch : 0.154340028763
09/08/2020 16:32:34 - INFO: Mini batch Iter: 12 train_loss= 2.76535
09/08/2020 16:32:34 - INFO: Mini batch Iter: 12 graph_loss= 2.76535
09/08/2020 16:32:34 - INFO: Mini batch Iter: 12 reg_loss= 0.00000
09/08/2020 16:32:34 - INFO: Time for Mini batch : 0.153156042099
09/08/2020 16:32:34 - INFO: Mini batch Iter: 13 train_loss= 2.76516
09/08/2020 16:32:34 - INFO: Mini batch Iter: 13 graph_loss= 2.76516
09/08/2020 16:32:34 - INFO: Mini batch Iter: 13 reg_loss= 0.00000
09/08/2020 16:32:34 - INFO: Time for Mini batch : 0.152559041977
09/08/2020 16:32:34 - INFO: Mini batch Iter: 14 train_loss= 2.76355
09/08/2020 16:32:34 - INFO: Mini batch Iter: 14 graph_loss= 2.76355
09/08/2020 16:32:34 - INFO: Mini batch Iter: 14 reg_loss= 0.00000
09/08/2020 16:32:34 - INFO: Time for Mini batch : 0.157899141312
09/08/2020 16:32:34 - INFO: Mini batch Iter: 15 train_loss= 2.76266
09/08/2020 16:32:34 - INFO: Mini batch Iter: 15 graph_loss= 2.76266
09/08/2020 16:32:34 - INFO: Mini batch Iter: 15 reg_loss= 0.00000
09/08/2020 16:32:34 - INFO: Time for Mini batch : 0.158016204834
09/08/2020 16:32:35 - INFO: Mini batch Iter: 16 train_loss= 2.76008
09/08/2020 16:32:35 - INFO: Mini batch Iter: 16 graph_loss= 2.76008
09/08/2020 16:32:35 - INFO: Mini batch Iter: 16 reg_loss= 0.00000
09/08/2020 16:32:35 - INFO: Time for Mini batch : 0.157876014709
09/08/2020 16:32:35 - INFO: Mini batch Iter: 17 train_loss= 2.75921
09/08/2020 16:32:35 - INFO: Mini batch Iter: 17 graph_loss= 2.75921
09/08/2020 16:32:35 - INFO: Mini batch Iter: 17 reg_loss= 0.00000
09/08/2020 16:32:35 - INFO: Time for Mini batch : 0.485456943512
09/08/2020 16:32:35 - INFO: Time for epoch : 3.85049557686
09/08/2020 16:32:36 - INFO: Val results at epoch 0: Measure (HAD) AUC: 0.922474329765
09/08/2020 16:32:36 - INFO: Test results at epoch 0: Measure (HAD) AUC: 0.920931168052
09/08/2020 16:32:37 - INFO: Mini batch Iter: 0 train_loss= 2.75617
09/08/2020 16:32:37 - INFO: Mini batch Iter: 0 graph_loss= 2.75617
09/08/2020 16:32:37 - INFO: Mini batch Iter: 0 reg_loss= 0.00000
09/08/2020 16:32:37 - INFO: Time for Mini batch : 0.158551931381
09/08/2020 16:32:37 - INFO: Mini batch Iter: 1 train_loss= 2.75426
09/08/2020 16:32:37 - INFO: Mini batch Iter: 1 graph_loss= 2.75426
09/08/2020 16:32:37 - INFO: Mini batch Iter: 1 reg_loss= 0.00000
09/08/2020 16:32:37 - INFO: Time for Mini batch : 0.158293008804
09/08/2020 16:32:37 - INFO: Mini batch Iter: 2 train_loss= 2.75485
09/08/2020 16:32:37 - INFO: Mini batch Iter: 2 graph_loss= 2.75485
09/08/2020 16:32:37 - INFO: Mini batch Iter: 2 reg_loss= 0.00000
09/08/2020 16:32:37 - INFO: Time for Mini batch : 0.173863172531
09/08/2020 16:32:38 - INFO: Mini batch Iter: 3 train_loss= 2.74595
09/08/2020 16:32:38 - INFO: Mini batch Iter: 3 graph_loss= 2.74595
09/08/2020 16:32:38 - INFO: Mini batch Iter: 3 reg_loss= 0.00000
09/08/2020 16:32:38 - INFO: Time for Mini batch : 0.159914970398
09/08/2020 16:32:38 - INFO: Mini batch Iter: 4 train_loss= 2.75525
09/08/2020 16:32:38 - INFO: Mini batch Iter: 4 graph_loss= 2.75525
09/08/2020 16:32:38 - INFO: Mini batch Iter: 4 reg_loss= 0.00000
09/08/2020 16:32:38 - INFO: Time for Mini batch : 0.154000997543
09/08/2020 16:32:38 - INFO: Mini batch Iter: 5 train_loss= 2.75136
09/08/2020 16:32:38 - INFO: Mini batch Iter: 5 graph_loss= 2.75136
09/08/2020 16:32:38 - INFO: Mini batch Iter: 5 reg_loss= 0.00000
09/08/2020 16:32:38 - INFO: Time for Mini batch : 0.156575202942
09/08/2020 16:32:39 - INFO: Mini batch Iter: 6 train_loss= 2.73741
09/08/2020 16:32:39 - INFO: Mini batch Iter: 6 graph_loss= 2.73741
09/08/2020 16:32:39 - INFO: Mini batch Iter: 6 reg_loss= 0.00000
09/08/2020 16:32:39 - INFO: Time for Mini batch : 0.154388904572
09/08/2020 16:32:39 - INFO: Mini batch Iter: 7 train_loss= 2.74061
09/08/2020 16:32:39 - INFO: Mini batch Iter: 7 graph_loss= 2.74061
09/08/2020 16:32:39 - INFO: Mini batch Iter: 7 reg_loss= 0.00000
09/08/2020 16:32:39 - INFO: Time for Mini batch : 0.159997940063
09/08/2020 16:32:39 - INFO: Mini batch Iter: 8 train_loss= 2.73742
09/08/2020 16:32:39 - INFO: Mini batch Iter: 8 graph_loss= 2.73742
09/08/2020 16:32:39 - INFO: Mini batch Iter: 8 reg_loss= 0.00000
09/08/2020 16:32:39 - INFO: Time for Mini batch : 0.167497873306
09/08/2020 16:32:40 - INFO: Mini batch Iter: 9 train_loss= 2.74676
09/08/2020 16:32:40 - INFO: Mini batch Iter: 9 graph_loss= 2.74676
09/08/2020 16:32:40 - INFO: Mini batch Iter: 9 reg_loss= 0.00000
09/08/2020 16:32:40 - INFO: Time for Mini batch : 0.160928964615
09/08/2020 16:32:40 - INFO: Mini batch Iter: 10 train_loss= 2.72334
09/08/2020 16:32:40 - INFO: Mini batch Iter: 10 graph_loss= 2.72334
09/08/2020 16:32:40 - INFO: Mini batch Iter: 10 reg_loss= 0.00000
09/08/2020 16:32:40 - INFO: Time for Mini batch : 0.168975114822
09/08/2020 16:32:40 - INFO: Mini batch Iter: 11 train_loss= 2.73864
09/08/2020 16:32:40 - INFO: Mini batch Iter: 11 graph_loss= 2.73864
09/08/2020 16:32:40 - INFO: Mini batch Iter: 11 reg_loss= 0.00000
09/08/2020 16:32:40 - INFO: Time for Mini batch : 0.162901163101
09/08/2020 16:32:41 - INFO: Mini batch Iter: 12 train_loss= 2.74201
09/08/2020 16:32:41 - INFO: Mini batch Iter: 12 graph_loss= 2.74201
09/08/2020 16:32:41 - INFO: Mini batch Iter: 12 reg_loss= 0.00000
09/08/2020 16:32:41 - INFO: Time for Mini batch : 0.161512136459
09/08/2020 16:32:41 - INFO: Mini batch Iter: 13 train_loss= 2.70764
09/08/2020 16:32:41 - INFO: Mini batch Iter: 13 graph_loss= 2.70764
09/08/2020 16:32:41 - INFO: Mini batch Iter: 13 reg_loss= 0.00000
09/08/2020 16:32:41 - INFO: Time for Mini batch : 0.163731098175
09/08/2020 16:32:41 - INFO: Mini batch Iter: 14 train_loss= 2.74869
09/08/2020 16:32:41 - INFO: Mini batch Iter: 14 graph_loss= 2.74869
09/08/2020 16:32:41 - INFO: Mini batch Iter: 14 reg_loss= 0.00000
09/08/2020 16:32:41 - INFO: Time for Mini batch : 0.158546924591
09/08/2020 16:32:42 - INFO: Mini batch Iter: 15 train_loss= 2.74129
09/08/2020 16:32:42 - INFO: Mini batch Iter: 15 graph_loss= 2.74129
09/08/2020 16:32:42 - INFO: Mini batch Iter: 15 reg_loss= 0.00000
09/08/2020 16:32:42 - INFO: Time for Mini batch : 0.156852006912
09/08/2020 16:32:42 - INFO: Mini batch Iter: 16 train_loss= 2.70583
09/08/2020 16:32:42 - INFO: Mini batch Iter: 16 graph_loss= 2.70583
09/08/2020 16:32:42 - INFO: Mini batch Iter: 16 reg_loss= 0.00000
09/08/2020 16:32:42 - INFO: Time for Mini batch : 0.161120891571
09/08/2020 16:32:42 - INFO: Mini batch Iter: 17 train_loss= 2.69710
09/08/2020 16:32:42 - INFO: Mini batch Iter: 17 graph_loss= 2.69710
09/08/2020 16:32:42 - INFO: Mini batch Iter: 17 reg_loss= 0.00000
