09/08/2020 14:45:16 - INFO: [('structural_head_config', u'16,8,8'), ('temporal_layer_config', u'128'), ('val_freq', 1), ('dataset', u'ml-10m_new'), ('epochs', 30), ('walk_len', 20), ('weight_decay', 0.0005), ('neg_sample_size', 10), ('temporal_drop', 0.5), ('GPU_ID', 0), ('use_residual', u'False'), ('structural_layer_config', u'128'), ('window', -1), ('base_model', u'DySAT'), ('log_dir', 'log'), ('model_dir', 'model'), ('spatial_drop', 0.1), ('position_ffn', u'True'), ('optimizer', 'adam'), ('time_steps', 9), ('learning_rate', 0.001), ('csv_dir', 'csv'), ('batch_size', 512), ('max_gradient_norm', 1.0), ('featureless', u'False'), ('f', '/root/.local/share/jupyter/runtime/kernel-2a59de63-16e5-49f3-bdb2-944b7f77189b.json'), ('test_freq', 1), ('temporal_head_config', u'16'), ('seed', 7), ('save_dir', 'output'), ('model', u'default'), ('neg_weight', 1.0)]
09/08/2020 14:48:56 - INFO: # train: 302, # val: 300, # test: 901
09/08/2020 14:48:59 - INFO: Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
09/08/2020 14:48:59 - INFO: NumExpr defaulting to 8 threads.
09/08/2020 15:23:14 - INFO: [('structural_head_config', u'16,8,8'), ('temporal_layer_config', u'128'), ('val_freq', 1), ('dataset', u'ml-10m_new'), ('epochs', 30), ('walk_len', 20), ('weight_decay', 0.0005), ('neg_sample_size', 10), ('temporal_drop', 0.5), ('GPU_ID', 0), ('use_residual', u'False'), ('structural_layer_config', u'128'), ('window', 3), ('base_model', u'DySAT'), ('log_dir', 'log'), ('model_dir', 'model'), ('spatial_drop', 0.1), ('position_ffn', u'True'), ('optimizer', 'adam'), ('time_steps', 9), ('learning_rate', 0.001), ('csv_dir', 'csv'), ('batch_size', 512), ('max_gradient_norm', 1.0), ('featureless', u'False'), ('f', '/root/.local/share/jupyter/runtime/kernel-2a59de63-16e5-49f3-bdb2-944b7f77189b.json'), ('test_freq', 1), ('temporal_head_config', u'16'), ('seed', 7), ('save_dir', 'output'), ('model', u'default'), ('neg_weight', 1.0)]
09/08/2020 15:24:15 - INFO: # train: 302, # val: 300, # test: 901
09/08/2020 15:24:18 - INFO: Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
09/08/2020 15:24:18 - INFO: NumExpr defaulting to 8 threads.
09/08/2020 15:30:47 - INFO: [('structural_head_config', u'16,8,8'), ('temporal_layer_config', u'128'), ('val_freq', 1), ('dataset', u'ml-10m_new'), ('epochs', 30), ('walk_len', 20), ('weight_decay', 0.0005), ('neg_sample_size', 10), ('temporal_drop', 0.5), ('GPU_ID', 0), ('use_residual', u'False'), ('structural_layer_config', u'128'), ('window', 2), ('base_model', u'DySAT'), ('log_dir', 'log'), ('model_dir', 'model'), ('spatial_drop', 0.1), ('position_ffn', u'True'), ('optimizer', 'adam'), ('time_steps', 9), ('learning_rate', 0.001), ('csv_dir', 'csv'), ('batch_size', 512), ('max_gradient_norm', 1.0), ('featureless', u'False'), ('f', '/root/.local/share/jupyter/runtime/kernel-2a59de63-16e5-49f3-bdb2-944b7f77189b.json'), ('test_freq', 1), ('temporal_head_config', u'16'), ('seed', 7), ('save_dir', 'output'), ('model', u'default'), ('neg_weight', 1.0)]
09/08/2020 15:31:49 - INFO: # train: 302, # val: 300, # test: 901
09/08/2020 15:38:08 - INFO: [('structural_head_config', u'16,8,8'), ('temporal_layer_config', u'128'), ('val_freq', 1), ('dataset', u'ml-10m_new'), ('epochs', 30), ('walk_len', 20), ('weight_decay', 0.0005), ('neg_sample_size', 10), ('temporal_drop', 0.5), ('GPU_ID', 0), ('use_residual', u'False'), ('structural_layer_config', u'128'), ('window', 1), ('base_model', u'DySAT'), ('log_dir', 'log'), ('model_dir', 'model'), ('spatial_drop', 0.1), ('position_ffn', u'True'), ('optimizer', 'adam'), ('time_steps', 9), ('learning_rate', 0.001), ('csv_dir', 'csv'), ('batch_size', 512), ('max_gradient_norm', 1.0), ('featureless', u'False'), ('f', '/root/.local/share/jupyter/runtime/kernel-2a59de63-16e5-49f3-bdb2-944b7f77189b.json'), ('test_freq', 1), ('temporal_head_config', u'16'), ('seed', 7), ('save_dir', 'output'), ('model', u'default'), ('neg_weight', 1.0)]
09/08/2020 15:39:10 - INFO: # train: 302, # val: 300, # test: 901
09/08/2020 16:45:47 - INFO: [('structural_head_config', u'16,8,8'), ('temporal_layer_config', u'128'), ('val_freq', 1), ('dataset', u'ml-10m_new'), ('epochs', 30), ('walk_len', 20), ('weight_decay', 0.0005), ('neg_sample_size', 10), ('temporal_drop', 0.5), ('GPU_ID', 0), ('use_residual', u'False'), ('structural_layer_config', u'128'), ('window', -1), ('base_model', u'DySAT'), ('log_dir', 'log'), ('model_dir', 'model'), ('spatial_drop', 0.1), ('position_ffn', u'True'), ('optimizer', 'adam'), ('time_steps', 9), ('learning_rate', 0.001), ('csv_dir', 'csv'), ('batch_size', 512), ('max_gradient_norm', 1.0), ('featureless', u'False'), ('f', '/root/.local/share/jupyter/runtime/kernel-ce5e9290-4e32-4c5d-9989-762e43beaf6d.json'), ('test_freq', 1), ('temporal_head_config', u'16'), ('seed', 7), ('save_dir', 'output'), ('model', u'default'), ('neg_weight', 1.0)]
09/08/2020 16:46:48 - INFO: # train: 302, # val: 300, # test: 901
09/08/2020 16:46:51 - INFO: Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
09/08/2020 16:46:51 - INFO: NumExpr defaulting to 8 threads.
09/08/2020 16:46:57 - INFO: Mini batch Iter: 0 train_loss= 11.08753
09/08/2020 16:46:57 - INFO: Mini batch Iter: 0 graph_loss= 11.08753
09/08/2020 16:46:57 - INFO: Mini batch Iter: 0 reg_loss= 0.00000
09/08/2020 16:46:57 - INFO: Time for Mini batch : 1.12773609161
09/08/2020 16:46:58 - INFO: Mini batch Iter: 1 train_loss= 11.08767
09/08/2020 16:46:58 - INFO: Mini batch Iter: 1 graph_loss= 11.08767
09/08/2020 16:46:58 - INFO: Mini batch Iter: 1 reg_loss= 0.00000
09/08/2020 16:46:58 - INFO: Time for Mini batch : 0.528470993042
09/08/2020 16:46:59 - INFO: Mini batch Iter: 2 train_loss= 11.08767
09/08/2020 16:46:59 - INFO: Mini batch Iter: 2 graph_loss= 11.08767
09/08/2020 16:46:59 - INFO: Mini batch Iter: 2 reg_loss= 0.00000
09/08/2020 16:46:59 - INFO: Time for Mini batch : 1.11886000633
09/08/2020 16:47:00 - INFO: Mini batch Iter: 3 train_loss= 11.08717
09/08/2020 16:47:00 - INFO: Mini batch Iter: 3 graph_loss= 11.08717
09/08/2020 16:47:00 - INFO: Mini batch Iter: 3 reg_loss= 0.00000
09/08/2020 16:47:00 - INFO: Time for Mini batch : 0.538504123688
09/08/2020 16:47:01 - INFO: Mini batch Iter: 4 train_loss= 11.08585
09/08/2020 16:47:01 - INFO: Mini batch Iter: 4 graph_loss= 11.08585
09/08/2020 16:47:01 - INFO: Mini batch Iter: 4 reg_loss= 0.00000
09/08/2020 16:47:01 - INFO: Time for Mini batch : 0.524748086929
09/08/2020 16:47:01 - INFO: Mini batch Iter: 5 train_loss= 11.08573
09/08/2020 16:47:01 - INFO: Mini batch Iter: 5 graph_loss= 11.08573
09/08/2020 16:47:01 - INFO: Mini batch Iter: 5 reg_loss= 0.00000
09/08/2020 16:47:01 - INFO: Time for Mini batch : 0.502686023712
09/08/2020 16:47:02 - INFO: Mini batch Iter: 6 train_loss= 11.08361
09/08/2020 16:47:02 - INFO: Mini batch Iter: 6 graph_loss= 11.08361
09/08/2020 16:47:02 - INFO: Mini batch Iter: 6 reg_loss= 0.00000
09/08/2020 16:47:02 - INFO: Time for Mini batch : 0.517782926559
09/08/2020 16:47:03 - INFO: Mini batch Iter: 7 train_loss= 11.08321
09/08/2020 16:47:03 - INFO: Mini batch Iter: 7 graph_loss= 11.08321
09/08/2020 16:47:03 - INFO: Mini batch Iter: 7 reg_loss= 0.00000
09/08/2020 16:47:03 - INFO: Time for Mini batch : 0.493866205215
09/08/2020 16:47:03 - INFO: Mini batch Iter: 8 train_loss= 11.08109
09/08/2020 16:47:03 - INFO: Mini batch Iter: 8 graph_loss= 11.08109
09/08/2020 16:47:03 - INFO: Mini batch Iter: 8 reg_loss= 0.00000
09/08/2020 16:47:03 - INFO: Time for Mini batch : 0.499788045883
09/08/2020 16:47:05 - INFO: Mini batch Iter: 9 train_loss= 11.07984
09/08/2020 16:47:05 - INFO: Mini batch Iter: 9 graph_loss= 11.07984
09/08/2020 16:47:05 - INFO: Mini batch Iter: 9 reg_loss= 0.00000
09/08/2020 16:47:05 - INFO: Time for Mini batch : 1.03624391556
09/08/2020 16:47:05 - INFO: Mini batch Iter: 10 train_loss= 11.07762
09/08/2020 16:47:05 - INFO: Mini batch Iter: 10 graph_loss= 11.07762
09/08/2020 16:47:05 - INFO: Mini batch Iter: 10 reg_loss= 0.00000
09/08/2020 16:47:05 - INFO: Time for Mini batch : 0.499135017395
09/08/2020 16:47:06 - INFO: Mini batch Iter: 11 train_loss= 11.07578
09/08/2020 16:47:06 - INFO: Mini batch Iter: 11 graph_loss= 11.07578
09/08/2020 16:47:06 - INFO: Mini batch Iter: 11 reg_loss= 0.00000
09/08/2020 16:47:06 - INFO: Time for Mini batch : 0.508256196976
09/08/2020 16:47:07 - INFO: Mini batch Iter: 12 train_loss= 11.07217
09/08/2020 16:47:07 - INFO: Mini batch Iter: 12 graph_loss= 11.07217
09/08/2020 16:47:07 - INFO: Mini batch Iter: 12 reg_loss= 0.00000
09/08/2020 16:47:07 - INFO: Time for Mini batch : 0.500787973404
09/08/2020 16:47:08 - INFO: Mini batch Iter: 13 train_loss= 11.06860
09/08/2020 16:47:08 - INFO: Mini batch Iter: 13 graph_loss= 11.06860
09/08/2020 16:47:08 - INFO: Mini batch Iter: 13 reg_loss= 0.00000
09/08/2020 16:47:08 - INFO: Time for Mini batch : 0.496990919113
09/08/2020 16:47:08 - INFO: Mini batch Iter: 14 train_loss= 11.06904
09/08/2020 16:47:08 - INFO: Mini batch Iter: 14 graph_loss= 11.06904
09/08/2020 16:47:08 - INFO: Mini batch Iter: 14 reg_loss= 0.00000
09/08/2020 16:47:08 - INFO: Time for Mini batch : 0.512872934341
09/08/2020 16:47:09 - INFO: Mini batch Iter: 15 train_loss= 11.06074
09/08/2020 16:47:09 - INFO: Mini batch Iter: 15 graph_loss= 11.06074
09/08/2020 16:47:09 - INFO: Mini batch Iter: 15 reg_loss= 0.00000
09/08/2020 16:47:09 - INFO: Time for Mini batch : 0.50749707222
09/08/2020 16:47:10 - INFO: Mini batch Iter: 16 train_loss= 11.05408
09/08/2020 16:47:10 - INFO: Mini batch Iter: 16 graph_loss= 11.05408
09/08/2020 16:47:10 - INFO: Mini batch Iter: 16 reg_loss= 0.00000
09/08/2020 16:47:10 - INFO: Time for Mini batch : 0.503607034683
09/08/2020 16:47:11 - INFO: Mini batch Iter: 17 train_loss= 11.04982
09/08/2020 16:47:11 - INFO: Mini batch Iter: 17 graph_loss= 11.04982
